"","terms","count","probability"
"253","running",48,0.000576368876080692
"254","thank",48,0.000576368876080692
"255","wait",48,0.000576368876080692
"256","become",47,0.000564361191162344
"257","check",47,0.000564361191162344
"258","friend",47,0.000564361191162344
"259","fun",47,0.000564361191162344
"260","health",47,0.000564361191162344
"261","law",47,0.000564361191162344
"262","lost",47,0.000564361191162344
"263","monday",47,0.000564361191162344
"264","number",47,0.000564361191162344
"265","party",47,0.000564361191162344
"266","road",47,0.000564361191162344
"267","sometimes",47,0.000564361191162344
"268","talk",47,0.000564361191162344
"269","community",46,0.000552353506243996
"270","everything",46,0.000552353506243996
"271","food",46,0.000552353506243996
"272","later",46,0.000552353506243996
"273","men",46,0.000552353506243996
"274","please",46,0.000552353506243996
"275","ready",46,0.000552353506243996
"276","tonight",46,0.000552353506243996
"277","within",46,0.000552353506243996
"278","women",46,0.000552353506243996
"279","anyone",45,0.000540345821325648
"280","black",45,0.000540345821325648
"281","buy",45,0.000540345821325648
"282","early",45,0.000540345821325648
"283","fact",45,0.000540345821325648
"284","information",45,0.000540345821325648
"285","late",45,0.000540345821325648
"286","members",45,0.000540345821325648
"287","possible",45,0.000540345821325648
"288","quite",45,0.000540345821325648
"289","students",45,0.000540345821325648
"290","weekend",45,0.000540345821325648
"291","across",44,0.000528338136407301
"292","ago",44,0.000528338136407301
"293","feeling",44,0.000528338136407301
"294","fire",44,0.000528338136407301
"295","half",44,0.000528338136407301
"296","mind",44,0.000528338136407301
"297","minutes",44,0.000528338136407301
"298","win",44,0.000528338136407301
"299","writing",44,0.000528338136407301
"300","american",43,0.000516330451488953
"301","else",43,0.000516330451488953
"302","hes",43,0.000516330451488953
"303","lead",43,0.000516330451488953
"304","list",43,0.000516330451488953
"305","national",43,0.000516330451488953
"306","needs",43,0.000516330451488953
"307","reading",43,0.000516330451488953
"308","seem",43,0.000516330451488953
"309","states",43,0.000516330451488953
"310","top",43,0.000516330451488953
"311","true",43,0.000516330451488953
"312","added",42,0.000504322766570605
"313","asked",42,0.000504322766570605
"314","beautiful",42,0.000504322766570605
"315","center",42,0.000504322766570605
"316","felt",42,0.000504322766570605
"317","given",42,0.000504322766570605
"318","john",42,0.000504322766570605
"319","saying",42,0.000504322766570605
"320","tomorrow",42,0.000504322766570605
"321","watch",42,0.000504322766570605
"322","car",41,0.000492315081652257
"323","card",41,0.000492315081652257
"324","comes",41,0.000492315081652257
"325","either",41,0.000492315081652257
"326","five",41,0.000492315081652257
"327","hand",41,0.000492315081652257
"328","heart",41,0.000492315081652257
"329","instead",41,0.000492315081652257
"330","means",41,0.000492315081652257
"331","movie",41,0.000492315081652257
"332","order",41,0.000492315081652257
"333","red",41,0.000492315081652257
"334","series",41,0.000492315081652257
"335","street",41,0.000492315081652257
"336","taking",41,0.000492315081652257
"337","thursday",41,0.000492315081652257
"338","write",41,0.000492315081652257
"339","office",40,0.00048030739673391
"340","online",40,0.00048030739673391
"341","pick",40,0.00048030739673391
"342","saw",40,0.00048030739673391
"343","seems",40,0.00048030739673391
"344","watching",40,0.00048030739673391
"345","words",40,0.00048030739673391
"346","class",39,0.000468299711815562
"347","close",39,0.000468299711815562
"348","couple",39,0.000468299711815562
"349","forward",39,0.000468299711815562
"350","gave",39,0.000468299711815562
"351","isnt",39,0.000468299711815562
"352","light",39,0.000468299711815562
"353","live",39,0.000468299711815562
"354","matter",39,0.000468299711815562
"355","rather",39,0.000468299711815562
"356","seen",39,0.000468299711815562
"357","spent",39,0.000468299711815562
"358","west",39,0.000468299711815562
"359","’ll",38,0.000456292026897214
"360","’re",38,0.000456292026897214
"361","among",38,0.000456292026897214
"362","building",38,0.000456292026897214
"363","can’t",38,0.000456292026897214
"364","court",38,0.000456292026897214
"365","lives",38,0.000456292026897214
"366","local",38,0.000456292026897214
"367","program",38,0.000456292026897214
"368","sunday",38,0.000456292026897214
"369","support",38,0.000456292026897214
"370","system",38,0.000456292026897214
"371","understand",38,0.000456292026897214
"372","university",38,0.000456292026897214
"373","although",37,0.000444284341978866
"374","amazing",37,0.000444284341978866
"375","april",37,0.000444284341978866
"376","bring",37,0.000444284341978866
"377","church",37,0.000444284341978866
"378","coach",37,0.000444284341978866
"379","experience",37,0.000444284341978866
"380","film",37,0.000444284341978866
"381","general",37,0.000444284341978866
"382","guy",37,0.000444284341978866
"383","guys",37,0.000444284341978866
"384","large",37,0.000444284341978866
"385","middle",37,0.000444284341978866
"386","whats",37,0.000444284341978866
"387","awesome",36,0.000432276657060519
"388","baby",36,0.000432276657060519
"389","behind",36,0.000432276657060519
"390","challenge",36,0.000432276657060519
"391","easy",36,0.000432276657060519
"392","girl",36,0.000432276657060519
"393","knew",36,0.000432276657060519
"394","learn",36,0.000432276657060519
"395","major",36,0.000432276657060519
"396","mean",36,0.000432276657060519
"397","mother",36,0.000432276657060519
"398","officials",36,0.000432276657060519
"399","saturday",36,0.000432276657060519
"400","service",36,0.000432276657060519
"401","song",36,0.000432276657060519
"402","stuff",36,0.000432276657060519
"403","york",36,0.000432276657060519
"404","began",35,0.000420268972142171
"405","control",35,0.000420268972142171
"406","cover",35,0.000420268972142171
"407","cut",35,0.000420268972142171
"408","decided",35,0.000420268972142171
"409","decision",35,0.000420268972142171
"410","enjoy",35,0.000420268972142171
"411","figure",35,0.000420268972142171
"412","heard",35,0.000420268972142171
"413","known",35,0.000420268972142171
"414","looked",35,0.000420268972142171
"415","market",35,0.000420268972142171
"416","meet",35,0.000420268972142171
"417","move",35,0.000420268972142171
"418","phone",35,0.000420268972142171
"419","picture",35,0.000420268972142171
"420","wish",35,0.000420268972142171
"421","cost",34,0.000408261287223823
"422","didn’t",34,0.000408261287223823
"423","especially",34,0.000408261287223823
"424","future",34,0.000408261287223823
"425","likely",34,0.000408261287223823
"426","mom",34,0.000408261287223823
"427","players",34,0.000408261287223823
"428","points",34,0.000408261287223823
"429","question",34,0.000408261287223823
"430","six",34,0.000408261287223823
"431","thinking",34,0.000408261287223823
"432","video",34,0.000408261287223823
"433","wednesday",34,0.000408261287223823
"434","whether",34,0.000408261287223823
"435","wrong",34,0.000408261287223823
"436","continue",33,0.000396253602305476
"437","federal",33,0.000396253602305476
"438","goes",33,0.000396253602305476
"439","leave",33,0.000396253602305476
"440","north",33,0.000396253602305476
"441","obama",33,0.000396253602305476
"442","outside",33,0.000396253602305476
"443","project",33,0.000396253602305476
"444","short",33,0.000396253602305476
"445","simple",33,0.000396253602305476
"446","south",33,0.000396253602305476
"447","special",33,0.000396253602305476
"448","takes",33,0.000396253602305476
"449","turn",33,0.000396253602305476
"450","bill",32,0.000384245917387128
"451","board",32,0.000384245917387128
"452","books",32,0.000384245917387128
"453","break",32,0.000384245917387128
"454","child",32,0.000384245917387128
"455","cool",32,0.000384245917387128
"456","definitely",32,0.000384245917387128
"457","energy",32,0.000384245917387128
"458","eyes",32,0.000384245917387128
"459","fall",32,0.000384245917387128
"460","feet",32,0.000384245917387128
"461","huge",32,0.000384245917387128
"462","inside",32,0.000384245917387128
"463","nearly",32,0.000384245917387128
"464","paper",32,0.000384245917387128
"465","shows",32,0.000384245917387128
"466","stay",32,0.000384245917387128
"467","taken",32,0.000384245917387128
"468","theyre",32,0.000384245917387128
"469","visit",32,0.000384245917387128
"470","add",31,0.00037223823246878
"471","air",31,0.00037223823246878
"472","art",31,0.00037223823246878
"473","based",31,0.00037223823246878
"474","body",31,0.00037223823246878
"475","chance",31,0.00037223823246878
"476","event",31,0.00037223823246878
"477","final",31,0.00037223823246878
"478","gone",31,0.00037223823246878
"479","looks",31,0.00037223823246878
"480","moving",31,0.00037223823246878
"481","pass",31,0.00037223823246878
"482","role",31,0.00037223823246878
"483","simply",31,0.00037223823246878
"484","son",31,0.00037223823246878
"485","tax",31,0.00037223823246878
"486","teams",31,0.00037223823246878
"487","turned",31,0.00037223823246878
"488","voice",31,0.00037223823246878
"489","father",30,0.000360230547550432
"490","happened",30,0.000360230547550432
"491","interested",30,0.000360230547550432
"492","james",30,0.000360230547550432
"493","june",30,0.000360230547550432
"494","miss",30,0.000360230547550432
"495","near",30,0.000360230547550432
"496","process",30,0.000360230547550432
"497","reason",30,0.000360230547550432
"498","san",30,0.000360230547550432
"499","share",30,0.000360230547550432
"500","shes",30,0.000360230547550432
"501","wants",30,0.000360230547550432
"502","act",29,0.000348222862632085
"503","allow",29,0.000348222862632085
"504","bowl",29,0.000348222862632085
"505","clear",29,0.000348222862632085
"506","fans",29,0.000348222862632085
"507","following",29,0.000348222862632085
"508","hey",29,0.000348222862632085
"509","jobs",29,0.000348222862632085
"510","longer",29,0.000348222862632085
"511","moment",29,0.000348222862632085
"512","needed",29,0.000348222862632085
"513","parents",29,0.000348222862632085
"514","player",29,0.000348222862632085
"515","rest",29,0.000348222862632085
"516","search",29,0.000348222862632085
"517","similar",29,0.000348222862632085
"518","situation",29,0.000348222862632085
"519","twitter",29,0.000348222862632085
"520","worth",29,0.000348222862632085
"521","afternoon",28,0.000336215177713737
"522","ask",28,0.000336215177713737
"523","campaign",28,0.000336215177713737
"524","cause",28,0.000336215177713737
"525","death",28,0.000336215177713737
"526","department",28,0.000336215177713737
"527","dinner",28,0.000336215177713737
"528","dream",28,0.000336215177713737
"529","earlier",28,0.000336215177713737
"530","eating",28,0.000336215177713737
"531","example",28,0.000336215177713737
"532","finished",28,0.000336215177713737
"533","girls",28,0.000336215177713737
"534","ground",28,0.000336215177713737
"535","hair",28,0.000336215177713737
"536","higher",28,0.000336215177713737
"537","hot",28,0.000336215177713737
"538","human",28,0.000336215177713737
"539","mark",28,0.000336215177713737
"540","ones",28,0.000336215177713737
"541","quickly",28,0.000336215177713737
"542","recent",28,0.000336215177713737
"543","single",28,0.000336215177713737
"544","spending",28,0.000336215177713737
"545","starting",28,0.000336215177713737
"546","step",28,0.000336215177713737
"547","summer",28,0.000336215177713737
"548","weve",28,0.000336215177713737
"549","wife",28,0.000336215177713737
"550","yeah",28,0.000336215177713737
"551","bed",27,0.000324207492795389
"552","billion",27,0.000324207492795389
"553","changes",27,0.000324207492795389
"554","chicken",27,0.000324207492795389
"555","college",27,0.000324207492795389
"556","couldnt",27,0.000324207492795389
"557","difficult",27,0.000324207492795389
"558","director",27,0.000324207492795389
"559","drive",27,0.000324207492795389
"560","education",27,0.000324207492795389
"561","exactly",27,0.000324207492795389
"562","lets",27,0.000324207492795389
"563","level",27,0.000324207492795389
"564","main",27,0.000324207492795389
"565","march",27,0.000324207492795389
"566","perfect",27,0.000324207492795389
